"SK Rapid Wien","https://seeklogo.com/images/F/fc-rapid-vienna-logo-0F7EAB3E95-seeklogo.com.png","Zoran Barišić","Allianz Stadion",48.198056,16.265278,1897
"FK Austria Wien","https://www.austriansoccerboard.at/uploads/1293637690/gallery_1_135_24259.jpg","Michael Wimmer","Generali Arena",48.162345,16.387156,1911
"SK Sturm Graz","https://i.discogs.com/neOQxj3jiaGxAlWB3PHvGIy515UeairpSUEJdcfhCA0/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9MLTM0NjU5/OS0xNDcxMTE3Mzc5/LTY4NjUuanBlZw.jpeg","Christian Ilzer","Merkur Arena",47.046125,15.454567,1909
"FC Red Bull Salzburg","https://www.kindpng.com/picc/m/477-4770947_red-bull-salzburg-hockey-logo-hd-png-download.png","Matthias Jaissle","Red Bull Arena",47.816806,12.999306,1933
"FC Admira Wacker Mödling","https://toppng.com/uploads/preview/fc-trenkwalder-admira-vector-logo-11573918507qq0izisknk.png","Tommy Wright","motion invest Arena",48.097593,16.310936,1905
